LAST_PING_TIMESTAMP,COOKIE_ID,PAGE_SESSION_ID,PATH,NEW_USER,DEVICE,ENGAGED_TIME_ON_PAGE_SECONDS,CITY_NAME,COUNTRY_NAME,UTC_OFFSET_MINUTES,USER_AGENT,RECENCY,FREQUENCY,AUTHOR,SECTION,SECTION2,CONTENT_TYPE,PAGE_TITLE,SCROLLDEPTH,TOTAL_TIME_ON_PAGE_SECONDS,SUBSCRIBER_ACCT,PAGE_LOAD_TIME
1706980794,60mHDuyo4/dZsAMz,rl1hXTYJ5ZTfnRiblk1aLq4spYM=,english.scoop.com/news/india/11-bombs-planted-at-different-locations-in-mumbai-rbi-guv-gets-email-threat-1.9185644,TRUE,desktop,1,Chandigarh,India,330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",0,1,scoopenglish,"news,news/india,regular articles,medium content",News India,english article,"""11 bombs planted at different locations in Mumbai..."": RBI guv gets email threat, bombs planted in mumbai email threat, Mumbai, RBI governor get bomb threat, latest news, Mumbai",589,1,0,4016
1706858711,31N42RwsOUdMIPWN,UEkh8Lus4rghT4IzWmt2DiOaW7M=,english.scoop.com/news/india/11-bombs-planted-at-different-locations-in-mumbai-rbi-guv-gets-email-threat-1.9185644,TRUE,desktop,0,Mumbai,India,330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0",0,1,scoopenglish,"news,news/india,regular articles,medium content",News India,english article,"""11 bombs planted at different locations in Mumbai..."": RBI guv gets email threat, bombs planted in mumbai email threat, Mumbai, RBI governor get bomb threat, latest news, Mumbai",752,82,0,50300
1709135106,DCSJJ3s06v7+xdi3,53RsJ5nZPaDIBBZw744QQAFz860=,english.scoop.com/movies-music/news/a-film-close-to-my-heart-allu-arjun-celebrates-14-years-of-arya-2-1.9108101,FALSE,desktop,1,Schongau,Germany,0,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US) AppleWebKit/537.36 (KHTML, like Gecko) cXensebot/2.0; +http://www.cxense.com/bot.html Safari/533.3",1,3,scoopenglish,"movies & music,movies & music/news,regular articles,medium content",Movies-Music,english article,"""A film close to my heart"": Allu Arjun celebrates 14 years of 'Arya 2', Allu Arjun celebrates 14 years of Arya 2, Arya movie, Allu Arjun, Telugu movies",600,1,0,2235
1709115749,DcGupm7mr5CnLS1L,Ry9p7YWIcCoIBvJFTwWjTkZELSc=,english.scoop.com/movies-music/news/a-film-close-to-my-heart-allu-arjun-celebrates-14-years-of-arya-2-1.9108101,TRUE,desktop,11,Malikipuram,India,330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",0,1,scoopenglish,"movies & music,movies & music/news,regular articles,medium content",Movies-Music,english article,"""A film close to my heart"": Allu Arjun celebrates 14 years of 'Arya 2', Allu Arjun celebrates 14 years of Arya 2, Arya movie, Allu Arjun, Telugu movies",3007,195,0,3621
1708026937,4wsIrkIh0iGK59vV,nSLzQKYO9h6fGb+bdAey9xjrWHQ=,english.scoop.com/movies-music/news/a-film-close-to-my-heart-allu-arjun-celebrates-14-years-of-arya-2-1.9108101,TRUE,desktop,29,,Poland,60,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:122.0) Gecko/20100101 Firefox/122.0,0,1,scoopenglish,"movies & music,movies & music/news,regular articles,medium content",Movies-Music,english article,"""A film close to my heart"": Allu Arjun celebrates 14 years of 'Arya 2', Allu Arjun celebrates 14 years of Arya 2, Arya movie, Allu Arjun, Telugu movies",4554,48,0,7638
1707828971,_it7YTCx_BBaSPM3,vvbG1udHlR1pxfCzKsmoWtEaJjs=,english.scoop.com/news/india/aaftab-will-kill-me-cut-me-into-pieces-and-throw-me-shraddha-told-police-in-2020-1.8072411,TRUE,desktop,0,,Japan,330,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",0,1,"aryaaj,aryaaj","news,news/india,regular articles,long content",News India,english article,"""Aaftab will kill me, cut me into pieces and throw me,"" Shraddha told Police in 2020, sharddha walkar murder update, Aaftab threatened to kill in 2020, police complaint, national news",1417,0,0,9155
1707151084,BhUW72utxhunPZOJ,mSLPA2I2RVMX7OTJTIh4JucqMAI=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,30,0,4352
1707192911,v3lu461V1xQF9NAL,WLx3/VaBfN/d2iCNY57gZj6xNfM=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,45,,India,330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,8,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1933,165,0,1278
1707196383,UZRqA2LDNOJT1jCi,Rw6cWbPXuLKFHlhHJYe5dTdG6jA=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,15,0,2286
1707143620,pTprgnivBHs9lKMO,VqkXIPXPHptQjRgeQGSvttuafTo=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,mobile,107,Kochi,India,330,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",5957,135,0,3125
